,rain1,rain2,rain3,rain4,rain5,rain6
wl,41.22142857,31.76142857,27.57571429,16.30571429,9.027142857,26.57571429
fl,40.99428571,31.55714286,27.43857143,16.16714286,8.997142857,26.29428571
all,40.99142857,31.56714286,27.40714286,16.04,8.858571429,26.21142857
